Donor_id,Amount,Project_id
UD84,82.00,53335796102904435TK34082
UD85,98.00,53625607950375323DH97290
UD86,93.00,53315824274321851XQ17273
UD87,65.00,53353838385305382FE80976
UD88,25.00,53658684888089991WF43197
UD89,48.00,53292041656753464SL64973
UD90,80.00,53706052893985626RV81518
UD91,40.00,53496227221618509GS60289
UD92,82.00,53201356037793461KE30962
UD93,51.00,53774002216865576FR36910
UD94,94.00,53677751790240325EV31287
UD95,45.00,53237704067475420YB38926
UD96,11.00,53366442027741792PG37371
UD97,49.00,53115698142002377NR49279
UD98,96.00,53191260842514888ZX89752
UD99,91.00,53496266894469880EV48749
UD100,97.00,53131214512204106JL50093
UD101,94.00,53977070508062702ES70194
UD102,65.00,53674919557528234OR27289
UD103,52.00,53360241365689532KI64469
UD104,45.00,53907831531207661CH73554
UD105,32.00,53406534716436868VG22123
UD106,72.00,53514821277284010UY94961
UD107,29.00,53391596468949692GW10977
UD108,98.00,53333588699680753AW42843
UD109,53.00,53323076753975505YK63189
UD110,17.00,53469545374944267BZ90112
UD111,87.00,53332453794451118MB93419
UD112,74.00,53301328100693272IL14446
UD113,90.00,53958911207380867LE93473
UD114,52.00,53228231428950529IU12485
UD115,93.00,53304850096927379AG10400
UD116,67.00,53953906732120022GB74852
UD117,99.00,53263178682024961WC66973
UD118,91.00,53589930070017047CU61125
UD119,41.00,53859497330558757KL20696
UD120,52.00,53865680753346898FN74401
UD121,86.00,53962431473647211HA35236
UD122,46.00,53531536563065856NT86540
UD123,95.00,53458887151140513YK67952
UD124,38.00,53454290385480379QQ84174
UD125,13.00,53315823385827661HD75240
UD126,73.00,53785438299819977VW55096
UD127,90.00,53205334720132061QT98716
UD128,79.00,53230193052444940WC91644
UD129,22.00,53691247582440746SZ13613
UD130,99.00,53247452618405732BL31494
UD131,65.00,53469802976756482HP29000
UD132,77.00,53874474253083978CS25087
UD133,42.00,53219420707634407RX44337
UD134,89.00,53507358249644797YN11571
UD135,43.00,53541122496910607PU40383
UD136,23.00,53908863181486526YL65254
UD137,68.00,53734941473582745FQ68700
UD138,26.00,53885490731917698CH28106
UD139,64.00,53544267188232612HW12282
UD140,76.00,53673652492185486KW29836
UD141,97.00,53271164017729141MC14652
UD142,80.00,53669313048359459YR19582
UD143,48.00,53803607663522837KG99810
UD144,10.00,53759166459239323FY34013
UD145,63.00,53109999958257166JD26893
UD146,57.00,53642604881799314RX85006
UD147,36.00,53145832071327529VB62832
UD148,10.00,53630818396730868UR40585
UD149,30.00,53757850508493891CY56089
UD150,74.00,53486435110899772JL42509
UD151,40.00,53817409433362862RV99498
UD152,84.00,53448723527880160BY15132
UD153,13.00,53381411525678174AJ50510
UD154,75.00,53628090677906144WO66811
UD155,73.00,53939045477369679SH13770
UD156,65.00,53692540735206596LT16610
UD157,68.00,53641486939505149HH85585
UD158,30.00,53271257738461953XV72715
UD159,59.00,53854100715204629MP91492
UD160,43.00,53989473071643810KP20795
UD161,72.00,53530089554303823OI45906
UD162,71.00,53366692214561315OU73338
UD163,84.00,53890866513708953HB79089
UD164,49.00,53587836755146937RN31965
UD165,63.00,53441176441261796UA52547
UD166,71.00,53947253821370241QZ53778
UD167,18.00,53905843658195054OZ53969
UD168,40.00,53290022350948311LU17132
UD169,81.00,53815019203918329OA97478
UD170,68.00,53641937107818152TA48247
UD171,45.00,53601551312082954VG90990
UD172,33.00,53456885023960579UR91101
UD173,38.00,53556858964142710PH60011
UD174,40.00,53420384499848916KY11072
UD175,82.00,53839857451759488LD75860
UD176,35.00,53905878090572085SF41927
UD177,36.00,53341026474890662UB37610
UD178,61.00,53664048529082165XL33090
UD179,10.00,53199309482661799NK82419
UD180,38.00,53739483534766224XK43435
UD181,45.00,53816268263444592OO91391
UD182,57.00,53402577363024323GN48451
UD183,76.00,53972980077289241TX87296
UD184,29.00,53326680592188123CI33610
UD185,38.00,53395284860145132UH78621
UD186,22.00,53601367302239063GV14772
UD187,38.00,53107587538098086HD80509
UD188,65.00,53583945285026046KO12795
UD189,10.00,5390821445937041YV69150
UD190,48.00,53493024870575250OG42045
UD191,60.00,53153087448409595OK46082
UD192,52.00,53402958592092104BG47468
UD193,34.00,53182940578779669HB58321
UD194,74.00,53767974997312822BX91518
UD195,47.00,53892465890097787FT89503
UD196,39.00,53181053598640487MJ96935
UD197,72.00,53795893441704036OV83515
UD198,36.00,53819675559554354HX43459
UD199,93.00,53929404609512988SO19180
UD200,99.00,53967386910453638SR69810
UD201,85.00,53458242821711195HI18839
UD202,73.00,53760834481001172BK40096
UD203,20.00,53908557416244268QN88754
UD204,71.00,53139938239802696ZD16143
UD205,34.00,53352393779392379CZ80460
UD206,63.00,53855533225532222OW30132
UD207,33.00,53464020830412484BK79154
UD208,27.00,53485683853235381QS83157
UD209,73.00,53287770152959154SZ96975
UD210,91.00,53121078438941949YB55579
UD211,18.00,53337006433139819NC30880
UD212,48.00,53540142101626473RH17719
UD213,83.00,53252387874889304ZB60791
UD214,64.00,53931439166391505AG42200
UD215,94.00,53416129739221757HY24733
UD216,19.00,53952993754085988QZ75800
UD217,31.00,53865076731435075MO70595
UD218,12.00,53114614266371920BH86323
UD219,22.00,53194259355228584BZ59754
UD220,77.00,53604525367013219RM47253
UD221,91.00,53933656082008749RP78721
UD222,12.00,53941509446443311TV93567
UD223,77.00,53479439193565578GK14760
UD224,36.00,53566830040461219VG46714
UD225,77.00,53806339218981733LM14490
UD226,24.00,53831601967517426EY40741
UD227,93.00,53361465967811887DD49866
UD228,61.00,53680897156547338FR59053
UD229,27.00,53376542078123816VK11153
UD230,79.00,53570956530106712OA71919
UD231,12.00,53583371860539532QP49640
UD232,59.00,53294556473580925WN18432
UD233,70.00,53782322477958808VX26840
UD234,78.00,53111228674715572FL46021
UD235,93.00,53252241023385409CK78809
UD236,95.00,53576202110486216PV70603
UD237,50.00,53365639585669743FP16988
UD238,89.00,53262908269836159HZ30748
UD239,16.00,53828414829021726KE90799
UD240,44.00,53980609150792662YA69292
UD241,57.00,53477802865312262DB55532
UD242,40.00,53480272463473871EL20470
UD243,50.00,53557954882847868NT60915
UD244,89.00,53825148236931849PL60899
UD245,41.00,53430005741518905YF28152
UD246,26.00,53102017862653196XE23315
UD247,86.00,53637198222489307ZP45477
UD248,87.00,53243355737352601XF42607
UD249,54.00,53845301180640989FQ81762
UD250,57.00,53539152729395463BH26233
UD251,38.00,53733190932468897EE54116
UD252,91.00,53385383070259771QL50622
UD253,84.00,53886547951141372MN67218
UD254,92.00,53337828417437798OR26077
UD255,24.00,53509661157912562RK56218
UD256,42.00,53486130325242152QN73179
UD257,15.00,53919008823577309DQ88980
UD258,39.00,53774602466237652IC70780
UD259,99.00,53224473165791098JM76431
UD260,71.00,53587054632417728RQ37706
UD261,51.00,53933497351166490OU48950
UD262,27.00,53133558179737365TD84624
UD263,53.00,53406307189594181TR88321
UD264,47.00,53560275837873314FA74556
UD265,69.00,53649069695219546GV27843
UD266,51.00,53343158998013433AT87394
UD267,23.00,53384812850502609MF68103
UD268,61.00,53593756043304214LM92264
UD269,70.00,53287893213159248WV30110
UD270,11.00,53182487492272692GF21609
UD271,11.00,53383406670949048CG78988
UD272,64.00,53475751404832577ME99421
UD273,93.00,53932759146679362HE81422
UD274,65.00,53544427715180534KK16752
UD275,56.00,53863118950015063DE54380
UD276,51.00,53138909536014118WJ31710
UD277,82.00,53522662272702764RN13327
UD278,37.00,53536724705339747BK98178
UD279,89.00,53963619737068847TS90546
UD280,98.00,53240615638633095JC38132
UD281,37.00,53378984234138709TY51582
UD282,65.00,53239165030985151FQ44827
UD283,84.00,53963533711163100NU92894
UD284,35.00,53657435519982525VO76054
UD285,33.00,53284602998739218RS44127
UD286,73.00,53788957547696001GQ58256
UD287,80.00,53834096523727192NY62760
UD288,14.00,53539053811758331LP48580
UD289,87.00,53313563372848422HA11804
UD290,59.00,53592911544604293KM85375
UD291,87.00,53304023778153506ML76344
UD292,34.00,53198567458564962VE73237
UD293,97.00,53517504544932901MQ31991
UD294,14.00,53369387259276671EA59136
UD295,78.00,53676996412161247RE69399
UD296,67.00,53293657044407199RF42880
UD297,57.00,53882630863197758DB12944
UD298,94.00,53396081592564390AI37288
UD299,24.00,53972850643060988MD43282
UD300,91.00,53264282550560064IL57788
UD301,50.00,53687187610493098SI72736
UD302,29.00,53732751100891416NE54627
UD303,43.00,53579452014049380KA94304
UD304,98.00,53973657333972400QT64853
UD305,97.00,53301500350124843AX41244
UD306,28.00,53829827555163013FO11257
UD307,65.00,53701213288434917LH11979
UD308,60.00,53607331061212284JJ77497
UD309,36.00,53658927758602649DV26285
UD310,52.00,53327921069431283JH10223
UD311,69.00,53158956642647352LY83936
UD312,42.00,53840595237590104WN28539
UD313,41.00,53194497539033712TJ33870
UD314,65.00,53711260670035450HX28434
UD315,58.00,53339559308728299KO19697
UD316,21.00,53777564310297597IG78487
UD317,68.00,53612094703937539DD98985
UD318,93.00,53615457939332541CB78472
UD319,31.00,53110868472033516TI28616
UD320,13.00,53140721632845636OG48269
UD321,61.00,53102603973133002YF20619
UD322,87.00,53496335925173444DI21827
UD323,66.00,53578936012768528ML82818
UD324,14.00,53840338941109310UN70025
UD325,38.00,53913289162858843EO87446
UD326,94.00,53695399070660032DN77275
UD327,19.00,53414428177124640AT21666
UD328,54.00,53149864865501403VS95968
UD329,13.00,53473135531588177QQ90428
UD330,72.00,53691117727391974VX12381
UD331,50.00,53674385121262480TM75628
UD332,80.00,53742019682182622OY16935
UD333,25.00,53430246530150601TL68489
UD334,94.00,53632271794680702EZ94331
UD335,44.00,53986605393459106BC93835
UD336,30.00,53126440634549666PV21759
UD337,95.00,53812689700543886WN52833
UD338,38.00,53436560903136835JD50412
UD339,31.00,53956168248066378IZ15478
UD340,99.00,53501732459974571MY95103
UD341,33.00,53288085428441021FZ75551
UD342,56.00,53151260525872894MK97850
UD343,33.00,53459591809594154AT17193
UD344,56.00,53685949204949570WT46883
UD345,35.00,53268934629965537CW38009
UD346,38.00,53750329480726681TK38024
UD347,71.00,53443370842360133IK20597
UD348,23.00,53262886610063340PR46287
UD349,72.00,53109057396988663JL78288
UD350,54.00,53986895865117313DR45619
UD351,10.00,53126441124237367QT37021
UD352,37.00,53152648158279106VP41916
UD353,81.00,53521738983167132UD44869
UD354,57.00,53262943211088544RJ58654
UD355,20.00,53239779740786356ON76625
UD356,38.00,53710581694217228IJ42597
UD357,12.00,53563256557595818VG72293
UD358,66.00,53444525949830294JF63739
UD359,53.00,53407783466151135MI84310
UD360,65.00,53206668440682476XA93736
UD361,39.00,53461150536597559PO55457
UD362,31.00,53580268014693267GP35860
UD363,62.00,53219540585009588OL33513
UD364,99.00,53801860304848475ZU61987
UD365,66.00,53593768167888766JC94109
UD366,69.00,53176701159164704KK65727
UD367,36.00,53348760690481833OZ58912
UD368,26.00,53697243913840406QJ57630
UD369,27.00,53363772245314241CX76167
UD370,10.00,53199151658821406AU67939
UD371,26.00,53336526647309281DA89266
UD372,78.00,53539981906869538XL12477
UD373,77.00,53821475698852616CG29916
UD374,94.00,53320774681001242LO38063
UD375,84.00,53514652114667997OE50006
UD376,43.00,53590038675228094XV26955
UD377,68.00,53717488814178998MN28924
UD378,46.00,53274590319634266KV66276
UD379,57.00,53620038041473933FS28974
UD380,45.00,53564615052605821IE62066
UD381,65.00,53166057736996392KK64017
UD382,30.00,53627573285472529LN38264
UD383,57.00,53214543635525028RI80498
UD384,48.00,53439821319736084SJ46927
UD385,11.00,53757219230773152EX44966
UD386,60.00,53831549214570307BD70199
UD387,48.00,53576785371974365RY74397
UD388,41.00,53337069657782443SS30402
UD389,50.00,53817263446507736QA84031
UD390,65.00,53246144012941792JT11646
UD391,21.00,53807696275386233BE44356
UD392,91.00,53419322043256076WR99241
UD393,96.00,53977742971011856UT43717
UD394,60.00,53828267927169410XQ18163
UD395,45.00,53165965206971996NN81606
UD396,40.00,53604322303370274JL71633
UD397,75.00,53621819048985674YK17660
UD398,11.00,53640287000908666ZC73587
UD399,56.00,53666372189371691PU96239
UD400,48.00,53374461231511025NX13455
UD401,91.00,53821641014878358ZQ76415
UD402,26.00,53539910739615308PV92080
UD403,97.00,53645543253776889WA29882
UD404,11.00,53219603908473163MR15144
UD405,60.00,53670091191532813OE81951
UD406,42.00,53585271176098620BA46160
UD407,37.00,53411862504765478DR45119
UD408,85.00,53425110907992362YS33526
UD409,56.00,53500598426702693RB36679
UD410,86.00,53249093601689865SF23978
UD411,17.00,53267879896877146XJ66818
UD412,96.00,53404133951760169TA32009
UD413,96.00,53887773990592308FX92295
UD414,74.00,53127389307871912VT35774
UD415,91.00,53633890800168652NH40356
UD416,57.00,53639335671729542TW42549
UD417,79.00,53108549545052144KY93343
UD418,22.00,53541184805710362ZR63494
UD419,16.00,53446290719938467SN83012
UD420,57.00,53749258567405367QT41280
UD421,34.00,53444240748384266VQ15875
UD422,33.00,53215939347882529BI15135
UD423,15.00,53496826519741204AM43912
UD424,29.00,53552988691045029QC96961
UD425,89.00,53732869827532956BB11763
UD426,92.00,53333792475884930GW31857
UD427,96.00,53359629417141223SG98300
UD428,12.00,53191513473711423XM81230
UD429,42.00,53141996490568126SH94813
UD430,79.00,53944753498422663SZ55802
UD431,53.00,53177511741113428GO97591
UD432,26.00,53720195147489918WJ76331
UD433,87.00,53406939890210188PN62682
UD434,74.00,53512145539548878JG31971
UD435,93.00,53581261783147835OL64230
UD436,94.00,53766464824194168ZI97173
UD437,49.00,53630429499088661WM53555
UD438,91.00,53110462318985975FT90335
UD439,56.00,53104857302436212KR37942
UD440,95.00,53881696575817242AF63010
UD441,31.00,53825425548448163PN62174
UD442,83.00,53197549719984049EQ42611
UD443,37.00,53976190102782589XM77776
UD444,86.00,53983943388191967NS52626
UD445,55.00,53851657053582650IE24276
UD446,98.00,53115125624062176KA34999
UD447,21.00,53293525695560923IB27408
UD448,46.00,53509826170384678TL77855
UD449,21.00,53996564256514578WB77908
UD450,56.00,53778508388758696KM26664
UD451,19.00,53819235686014739OT62986
UD452,91.00,53594174571099053IX77538
UD453,27.00,53332670216067886VW91002
UD454,35.00,53275988169316597SL10894
UD455,43.00,53514485633811690RT75245
UD456,70.00,53859206530445502JB97030
UD457,93.00,53694989501221185JW74775
UD458,76.00,53786618522715088TQ79156
UD459,49.00,53185951779568143NB87007
UD460,82.00,53208076270527808OV60528
UD461,53.00,53194032845215176DC73384
UD462,27.00,53581323757801269QZ42813
UD463,37.00,53610800433025946SL93204
UD464,19.00,53980621478339043RB85166
UD465,47.00,53743772754475764JK31989
UD466,45.00,53739313936740264NJ57257
UD467,79.00,53659927661853279OH91681
UD468,61.00,53246426152612015WT56769
UD469,53.00,53699655503981978IT97764
UD470,17.00,53177084756242185EQ57397
UD471,96.00,53943773162724884UE60351
UD472,82.00,53471396536436699PV78802
UD473,46.00,53787087454759757YD50263
UD474,55.00,53546634287399442FZ14169
UD475,14.00,53906731625155482YY32550
UD476,51.00,53662542337303556IL39707
UD477,55.00,53267503227705208CO87443
UD478,61.00,53409505807244396ZC78842
UD479,71.00,53780476094140018LS69410
UD480,67.00,53588291143395186XU10038
UD481,10.00,53285147679161254GU32602
UD482,75.00,53909014617995713ZI14634
UD483,36.00,53598113707917499LF45925
UD484,84.00,53905218608379888WS77592
UD485,93.00,53293178088030357LF21679
UD486,68.00,53769509938207953EX47607
UD487,73.00,53626199401831082WW52070
UD488,35.00,53330006163500161CD32791
UD489,75.00,53599187899582473MY79567
UD490,11.00,53533754805076523XZ52268
UD491,38.00,53597864269356141QF28158
UD492,99.00,53454649476343574ZZ13698
UD493,11.00,53472325675493257VA91252
UD494,94.00,53897619496161904IT13328
UD495,19.00,53323361703844737OC87372
UD496,36.00,53846138285652427YP32597
UD497,14.00,53340324960224125IJ78671
UD498,90.00,53847660586033552ET33589
UD499,71.00,53261039661620809YZ89264
UD500,30.00,53202252097141128JM15457
UD501,20.00,53966927321316215CA39685
UD502,25.00,53142280223217061MF74949
UD503,56.00,53240528386292874RC91719
UD504,98.00,53694102923515094OD47491
UD505,46.00,53479112495391432QZ99920
UD506,39.00,53447440878723419MJ19070
UD507,93.00,53958373807706198VQ19921
UD508,65.00,53189624352316764RY15966
UD509,99.00,53155055121864631FC14754
UD510,13.00,53634651762822127RK33008
UD511,54.00,53848245754699378MN51588
UD512,62.00,53602836902887994ZM87182
UD513,78.00,53204935619696520DA58660
UD514,54.00,53437517966263455WG61407
UD515,78.00,53813619821479576AQ83167
UD516,60.00,53531856181726494ZE10031
UD517,49.00,53613040424993511RE71786
UD518,85.00,53377647068129311SK12935
UD519,33.00,53839265489591939SZ53364
UD520,21.00,53852703936113429RQ24981
UD521,51.00,53823569052467246DK50089
UD522,15.00,53846351958929420BD31976
UD523,92.00,53117332416214105SC98731
UD524,95.00,53227719328223239GA22752
UD525,43.00,53944151539059856ZP73490
UD526,98.00,53303835186769231EN88713
UD527,94.00,53198630942429815SU80281
UD528,98.00,53372471501797740ZA12544
UD529,37.00,53413384824201133DH89430
UD530,82.00,53684948745298932UD21159
UD531,45.00,53483879843998532CW96802
UD532,83.00,53112455825404858NF47454
UD533,79.00,53354462562217548BS62687
UD534,96.00,53790465591550462HP36043
UD535,85.00,53207364695292685PK13556
UD536,93.00,53312003769363861PH72740
UD537,53.00,53913291140648490PS36737
UD538,81.00,53825546886700219YO96522
UD539,85.00,53725043325830276SY46113
UD540,34.00,53134943698013949PV43034
UD541,56.00,53793903203120427VB88305
UD542,41.00,53490827615424188CM30539
UD543,96.00,53553533354150850XX92940
UD544,90.00,53771992146241134AL24747
UD545,68.00,53482377884899895MY87862
UD546,65.00,53351673992337745ZA90806
UD547,88.00,53955098966475833KI23539
UD548,16.00,53174513305840314JW55151
UD549,52.00,53859879294350297NG29173
UD550,50.00,53852951772711600DI33816
UD551,93.00,53466360349128956MZ57785
UD552,39.00,53250174927544878TN13934
UD553,45.00,53691608708116597ON19605
UD554,85.00,53246532235802892UL66310
UD555,24.00,53254558398957978CQ60308
UD556,68.00,53980413950918255XL20275
UD557,40.00,53416661613063987AP81410
UD558,29.00,53933951966402835RA13066
UD559,50.00,53241110332622071DJ47323
UD560,36.00,53372932931380274SR76191
UD561,89.00,53875728967701509FQ41476
UD562,64.00,53265575931462447BO29880
UD563,84.00,53146600676194142OI81343
UD564,75.00,53874025958821516UZ47808
UD565,78.00,53206075890414269RL84926
UD566,83.00,53717989299034685EZ93635
UD567,76.00,53323913169619332VR84731
UD568,10.00,53278219285571317CP96592
UD569,96.00,53634351425064562NF46743
UD570,32.00,53714321791500437SA52307
UD571,39.00,53476217939288341VO88774
UD572,59.00,53978701993613858UM50149
UD573,88.00,53133744057206046TP48089
UD574,50.00,53687510980410355AZ25056
UD575,82.00,53267575893203466EX13270
UD576,14.00,53703404473465373FC76410
UD577,72.00,53394788803958825PU71172
UD578,26.00,53545699301375621VR88239
UD579,49.00,53660244024329503GO42475
UD580,95.00,53922918851799677CO24937
UD581,35.00,53366861782224928NU49589
UD582,92.00,53577019542413143QY33111
UD583,98.00,53319766985791429FV78643
UD584,58.00,53615088125691016UE36810
UD585,33.00,53706095643214554YO64865
UD586,82.00,53606657476201849HV67808
UD587,30.00,53162966743748142CV30452
UD588,32.00,53985106183511604MW11448
UD589,89.00,53648139523176538BF46609
UD590,55.00,53430464132062322CH38623
UD591,68.00,53375150916719454UB53803
UD592,57.00,53265335324397306WE31573
UD593,52.00,53542511664128330YQ69341
UD594,61.00,53391039859461329AO59636
UD595,29.00,53363046174253079BA62018
UD596,62.00,53525622207739691WY30613
UD597,82.00,53458020229184772AJ65869
UD598,83.00,53812094471231132LH71943
UD599,88.00,53312704582355308WV46016
UD600,64.00,53368891496569504YJ81999
UD601,14.00,53980616179987870TR54589
UD602,38.00,53711679886872900ZA90890
UD603,89.00,53740462908484391PS29252
UD604,23.00,53470723873623675LG90747
UD605,20.00,53839119435805491PV37839
UD606,89.00,53528429910425068UR16611
UD607,27.00,53267637518023033PE38957
UD608,50.00,53268732941086644IO63167
UD609,87.00,53206098724941414VY85813
UD610,87.00,53451797205397426ZX73220
UD611,70.00,53942163223412376FY38671
UD612,29.00,53409764668630184JS10893
UD613,30.00,53516889703223512TY53599
UD614,14.00,53364121194620981ZH56951
UD615,17.00,53218758194175457EB92573
UD616,88.00,53498611046989435SP32879
UD617,46.00,53376139435387726QP88849
UD618,77.00,53196690676527882BH94795
UD619,34.00,53828226112858618IM89239
UD620,76.00,53278527125828468VQ88625
UD621,26.00,53212596022990019VN71016
UD622,77.00,53326870583355655AV77526
UD623,50.00,53436678522464301FX98128
UD624,45.00,53872013471180531VT89385
UD625,16.00,53880461815847598GT55908
UD626,63.00,53451300864203334EA97257
UD627,62.00,53142125553973059XN36160
UD628,35.00,53235650013160956PV13198
UD629,85.00,53256618006360529DB33978
UD630,46.00,53825929735490280JQ54690
UD631,79.00,53552668133259704KL55920
UD632,24.00,53842554502045979AW53798
UD633,37.00,53864083241031529ZF32279
UD634,94.00,53788118857617437PL10330
UD635,87.00,53555620734520242QS43718
UD636,54.00,53924643234013962GK82844
UD637,79.00,53400666404050447AI90624
UD638,16.00,53998422553680808NG48682
UD639,21.00,53369637541902082OA74523
UD640,63.00,53835389830222878EC28227
UD641,69.00,53137348265964926JX20338
UD642,89.00,53989863664019387ST77804
UD643,69.00,53758700501834659EX51647
UD644,87.00,53533223173781657NZ45681
UD645,51.00,53525739956761595DW31430
UD646,96.00,53119368394273388WV41929
UD647,97.00,53336142066703309HT30855
UD648,50.00,53580457446768036AF72817
UD649,54.00,53159329553831023WA97260
UD650,49.00,53899341872594532IM24444
UD651,34.00,53612068088170403FS94815
UD652,63.00,53620319241586048EC39903
UD653,64.00,53239697865348627SV96815
UD654,87.00,53526229752760946GI28189
UD655,40.00,53486065666656893WO23926
UD656,19.00,53782240296450786LH63018
UD657,83.00,53144126619423976LW31085
UD658,37.00,53790639127579056ZY90121
UD659,13.00,53256217658431747PB47768
UD660,65.00,53177430937584044GN29086
UD661,74.00,53268180874323282SC81665
UD662,25.00,53295734229444978KL36515
UD663,42.00,53510214338294216CY72870
UD664,47.00,53693435889677485OB81354
UD665,28.00,53757730178267819CD67582
UD666,78.00,53725145109406308JA31525
UD667,87.00,53753544474859857CU53740
UD668,97.00,53292361115220814VV16411
UD669,77.00,53328994331570877LP32472
UD670,30.00,53787855088748340LX19960
UD671,99.00,53482648656207024TB10267
UD672,49.00,53450497645575193DG41425
UD673,44.00,53588840026631933NO42781
UD674,88.00,53661817950240402OH16368
UD675,12.00,53901180906342870MQ66959
UD676,15.00,53350038668180601JW57634
UD677,79.00,53268055875303648FM60479
UD678,45.00,53623643901910801KD13873
UD679,57.00,53280169720345920EH32065
UD680,17.00,53680555011543378CL91358
UD681,83.00,53790033352592121OJ69801
UD682,48.00,53295224343967316FU80769
UD683,11.00,53725370677346921HA46365
UD684,37.00,53641521517656970SN40387
UD685,27.00,53313485949318786HX57900
UD686,13.00,53874316961870944NL45056
UD687,47.00,53184142603310402TN63690
UD688,83.00,53749978878291961PL42049
UD689,12.00,53863650684920917GI80090
UD690,30.00,53372454072544156LF18098
UD691,81.00,53498948951950023MP69878
UD692,27.00,53836311814790577HB31612
UD693,79.00,53317267369408293UR30406
UD694,10.00,53141157141053237TS76189
UD695,68.00,53755852954346103TJ84088
UD696,22.00,53322402793853197TN62509
UD697,86.00,53644669973505416XB58432
UD698,25.00,53134314590656284BO70604
UD699,45.00,53887123929421356RE84323
UD700,57.00,53870897730773693KY77941
UD701,65.00,53272765892644384EM29305
UD702,70.00,53769937331706704IX97357
UD703,42.00,53804292202583341ZQ13623
UD704,73.00,53269548632014512PL46360
UD705,43.00,53914087472820199YZ82171
UD706,75.00,53217404231150666SK10549
UD707,12.00,53191716871335545RR81857
UD708,51.00,53105523392737581RX71625
UD709,74.00,53874513774051539AM30147
UD710,51.00,53229687548747812TW72987
UD711,38.00,53166623422466794EQ99621
UD712,79.00,53675985577202331YW68315
UD713,36.00,53916194351633197SM14998
UD714,25.00,53896100829068027CO61283
UD715,95.00,53758415769154553KG33222
UD716,42.00,53399543957515018UL81680
UD717,13.00,53760355268719538OJ15249
UD718,77.00,53574790115353515YR88382
UD719,72.00,53257066451258257MC78492
UD720,81.00,53994292608274758LK35804
UD721,37.00,53839472944651271IZ91547
UD722,91.00,53703367765860490SA58997
UD723,23.00,53416833665826507VM37227
UD724,37.00,53144980077485999JA82696
UD725,83.00,53556894075578534DR73379
UD726,56.00,53158063191154716CR51897
UD727,72.00,53294744501213032VY38619
UD728,81.00,53139206536746120UG86017
