Project_Name,Project_id,Start_date,End_date,Introduction,Project_province,Category,Status
基层儿童健康助力,53234056439825390BE12064,2021/5/21,2021/11/17,在社区解决儿童健康防、治、调问题；并同步教育和就业。,湖南省,疾病救助,1
老伙伴志愿行,53555491822799397OJ51492,2021/5/21,2021/11/17,为乡村孤寡失能老人提供日常陪护，让老人们人老心不老,湖南省,济困救灾,1
心陪伴新生活,53563021300244066WL34124,2021/5/21,2021/11/17,为鳏寡孤独废疾老人提供免费午餐及上门陪伴送温暖服务。,江苏省,济困救灾,1
885助困计划,53670700666500207JP64079,2021/5/21,2021/11/17,为困境家庭提供信息咨询及求助指导等公益帮扶,全国范围,济困救灾,1
善食坊助老公益食堂,53832319805050306CE79358,2021/5/21,2021/11/17,善食坊是助老型的公益食堂，主要解决特殊老人吃饭难问题。,安徽省,济困救灾,1
向日葵陪护计划,53330172298896231NL73956,2021/5/21,2021/11/17,每10元一次陪护，让留守儿童不在孤单,重庆市,教育助学,1
关爱慢天使家庭,53895548633642911OU50990,2021/5/21,2021/11/17,每捐出10元，温暖[慢天使]的康复之路,重庆市,疾病救助,1
社区助养老计划,53739706238648580DO87741,2021/5/21,2021/11/17,为入住养老中心的困难老人筹得部分费用！,湖南省,济困救灾,1
让小孩绽开笑脸,53340938430191174WP86243,2021/5/21,2021/11/17,为公租房低龄儿童创造安全、有爱且有益的成长环境,重庆市,济困救灾,1
星火教育计划,53697636494233057QU53184,2021/5/21,2021/6/30,通过开展乡村群众专业技能培训，从而促进乡村经济振兴。,吉林省,济困救灾,1
情暖流动花朵,53826034756441948LV74907,2021/5/21,2021/11/17,携手家长让[流动的花朵]茁壮成长，为困难家庭助力！,天津市,济困救灾,1
音你而来康复计划,53227668045452457AR23822,2021/5/21,2021/11/17,通过专业康复运动和音乐疗愈助力残疾人身心健康,四川省,教育助学,1
站起来走天下,53129461311979648GW49702,2021/5/21,2021/11/17,为100人脊髓损伤残障患者，辅助站立行走，提升生活质量,四川省,疾病救助,1
山里娃的成长营,53340150901283930BC26763,2021/5/21,2021/6/30,每年一次成长营，让山里娃看看外面的世界,四川省,教育助学,1
青少年心理健康宣讲,53678021313804067NY69787,2021/5/21,2021/8/8,让更多家长关注心理健康问题，让孩子在更正向的环境成长,全国范围,教育助学,1
博爱救心行动,53534907417730585DG48297,2021/5/21,2021/11/17,向广西籍困难家庭需手术治疗的心脏病患者提供医疗援助。,广西壮族自治区,疾病救助,1
困境儿童生日陪伴,53874523662616330UB46893,2021/5/21,2021/7/28,依生日温情陪伴为契机，给予困境儿童心理关爱。,全国范围,教育助学,1
点亮微心愿,53291952491312735KB49362,2021/5/21,2021/11/17,500元，为天津市困难老党员实现一个微心愿。,天津市,济困救灾,1
助乡村孩子阅读成长,53543236611502170DZ10453,2021/5/21,2021/10/31,让更多的乡村儿童享有阅读的权利和改变人生命运的机会,江西省,教育助学,1
关爱重疾 善护生命,53409126515891650ES10410,2021/5/21,2021/11/17,每人捐助一点钱，让重病患者获得生的希望,辽宁省,疾病救助,1
关爱牺牲烈士家属,53885282094132093BA37715,2021/5/21,2021/11/17,关爱因公牺牲的烈士家属，为他们提供生活保障。,全国范围,其他,1
残障人士展能花园,53713268900185800FY73459,2021/5/21,2021/9/30,建设残疾人之家园艺治疗基地，培训残障人士职业技能。,江苏省,济困救灾,1
守护特需儿童,53427743143234328CM23485,2021/5/21,2021/11/17,家长赋能与支持、特教培训、课程开发，专业守护特需儿童,广东省,教育助学,1
安心居适老化改造,53280394597501348VE99912,2021/5/21,2021/11/17,为老人家庭构建安全、适老的居家环境。,江苏省,济困救灾,1
乡村儿童添翼计划,53759457306220641AT73994,2021/5/21,2021/11/17,50元一堂成长适应课程，让困境儿童拥抱美好中学生活。,重庆市,教育助学,1
2021信念爱心跑,53391487264550159SY68542,2021/5/21,2021/11/17,通过个人健步跑步，为云南玉龙县石鼓完小筹建电脑教室,云南省,教育助学,1
孤困儿童爱助计划,53593208878217334YT23271,2021/5/21,2021/10/31,资助德仁苑孤儿及困境儿童，让他们在蓝天下快乐成长。,江西省,济困救灾,1
阳光少年养成计划,53133057381111316JG11935,2021/5/20,2021/11/16,助力乡村学校培养自信开朗、乐学善思的乡村少年,中西部地区,教育助学,1
一双雨鞋一份爱,53556242662768290EE20933,2021/5/20,2021/11/16,为山区儿童送上一双[爱心雨鞋],浙江省,教育助学,1
春晖高中成长营,53274465920638886SL86067,2021/5/20,2021/11/16,帮助乡村高中生走出大山，开拓视野，成为可持续发展的青年,全国范围,教育助学,1
明然安宁疗护服务,53996126514459403KP18497,2021/5/20,2021/11/16,为终末期患者提供安宁疗护服务,北京市,济困救灾,1
困难妇女援助计划,53925324952698919BT73856,2021/5/20,2021/11/16,让困难妇女掌握健康技能，解决就业问题,重庆市,济困救灾,1
太极拳辅疗帕金森病,53886010603785836DP77910,2021/5/20,2021/6/30,医学研究证实太极拳可辅助治疗帕金森病，太极抗帕诞生了。,上海市,疾病救助,1
呵护花朵快乐成长,53723932251872872SS89356,2021/5/20,2021/7/28,振华助学，扶贫扶志，物质·精神双扶特困孩子自信自强成才,湖南省,教育助学,1
乡村振兴幸福万家,53290687234588678SL35404,2021/5/20,2021/11/16,乡村振兴建设，以及增加农村留守劳动力技能。,湖南省,济困救灾,1
关爱社区民族同胞,53802040627034340MT77343,2021/5/20,2021/11/16,在社区开展民族知识课堂、少数民族待业人员就业培训,重庆市,济困救灾,1
星儿宝贝帮扶计划,53544078018943768KB53369,2021/5/20,2021/11/16,给残疾儿童减免康复训练学费，提供康复知识培训及心理咨询,湖南省,疾病救助,1
老年生活安全体验屋,53793001559878068TR61730,2021/5/20,2021/11/16,多了解一条适老化信息，少发生一起老人跌倒意外,广东省,济困救灾,1
让孤老活得有尊严,53490229151447111PD88450,2021/5/20,2021/11/16,一天40元，让老人有所依，安享晚年。,湖南省,济困救灾,1
尘肺家庭子女读书梦,53873591272286396DP80270,2021/5/20,2021/11/16,为尘肺病和贫困农村家庭的孩子募集学费和生活补助,四川省,教育助学,1
乐龄学苑，老有所为,53905049732365520LR72407,2021/5/20,2021/11/16,9.9元送爸妈一堂兴趣课,广东省,济困救灾,1
教视障青年一项技能,53704076324324468SH50707,2021/5/20,2021/7/31,教视障青年学会一项技能，帮他们获得一份工作,全国范围,济困救灾,1
近视防治循证项目,53284316485813489OB42316,2021/5/20,2021/11/16,帮助孩子们提升近视防治的认知，助力身心健康。,全国范围,疾病救助,1
众爱携手陪伴成长,53613116070705257WS67596,2021/5/20,2021/11/16,通过社会各界爱心帮助，让孤残弃儿童提升生活质量,河南省,教育助学,1
温暖长者,53224728843030660FR46464,2021/5/20,2021/11/16,每一元，可以为老人奉献一份爱心,湖南省,济困救灾,1
渴望逃离死神的折磨,53488158003420087OR39592,2021/5/20,2021/11/16,为因病致贫的家庭提供紧急救助,河南省,疾病救助,1
幸福银行,53451860159323715TM33843,2021/5/20,2021/11/16,推动家庭心理健康教育普及，解决中国日益严重的家庭问题。,全国范围,教育助学,1
建设一老一小幸福家,53303020205572114QC97858,2021/5/20,2021/11/16,资助巫溪县养老机构建设和教育建设。,重庆市,济困救灾,1
助老扶老夕阳更美好,53281934615938602EZ97000,2021/5/20,2021/11/16,培育农村互助氛围，助力缓解老人困境。,重庆市,济困救灾,1
听到爱说出爱,53199436169270646KX76899,2021/5/20,2021/11/16,为患有听力障碍的儿童康复训练提供保障,河北省,疾病救助,1
给环卫工人送温暖,53467214991306039QW59866,2021/5/20,2021/11/16,关爱马路天使，共建美丽城市,重庆市,济困救灾,1
拥军助残,53717632568166992AF32226,2021/5/20,2021/11/16,解决退役伤残军人及退役军人直系亲属残疾人的具体困难。,四川省,济困救灾,1
职场残障融合培训,53752706581086874GS84318,2021/5/20,2021/11/16,发现被忽略的价值职场残障融合，建立残健互相尊重职场。,四川省,济困救灾,1
青少年科普课堂2期,53126689741325358KE39924,2021/5/20,2021/8/22,开展保护水资源的科普教育活动，提高环保意识,全国范围,自然保护,1
梦想启航爱心助学,53119331900118709YX43554,2021/5/20,2021/11/16,对家庭经济困难的特殊儿童，提供助学金，温暖求学之路,湖南省,教育助学,1
应急救助,53779071119847912FR38256,2021/5/20,2021/11/16,每一份小小的爱心都将助力患病儿童恢复健康,江苏省,疾病救助,1
大病救助慈善行,53511165791747870KN65427,2021/5/20,2021/11/16,减轻滨州市困难群众中的大病患者所面临的的医疗负担。,山东省,疾病救助,1
特殊儿童龋齿治疗,53375531620824945IX13717,2021/5/20,2021/11/16,为残障儿童募集龋齿治疗费用,浙江省,疾病救助,1
救急解难,53108849614987267TL16579,2021/5/20,2021/11/16,救助滨州市困难群众临时性、突发性、紧迫性生活困难。,山东省,其他,1
希望工程红色阅读包,53904570748646281FU16288,2021/5/20,2021/11/16,捐赠希望工程红色文化阅读包，让红色基因代代相传！,福建省,教育助学,1
慈善助残,53776434932073454DU93049,2021/5/20,2021/11/16,帮助残疾人克服困难，实现自我价值,江苏省,其他,1
雏鹰快乐阅读计划,53534232343186402QO50825,2021/5/20,2021/11/16,每16元一本爱心图书，让山区孩子不再[孤读],贵州省,教育助学,1
武陟慈善 点亮光明,53874898889732101SE56354,2021/5/20,2021/11/16,一起努力，献出一份爱，助更多的困难白内障患者重见光明！,河南省,疾病救助,1
助老慰老,53335796102904435TK34082,2021/5/20,2021/11/16,助老慰老，情暖关怀,江苏省,其他,1
扬帆盒子七彩画童年,53625607950375323DH97290,2021/5/20,2021/11/16,扬帆盒子送一支画笔给孩子描绘七彩童年,全国范围,教育助学,1
圆梦助学,53315824274321851XQ17273,2021/5/20,2021/11/16,助力贫困学子，梦想扬帆起航,江苏省,教育助学,1
困境老人助养工程,53353838385305382FE80976,2021/5/20,2021/11/16,解决困境老人生活物资缺乏，让其感到社会关怀，身心安乐。,山东省,济困救灾,1
书香童年筑梦未来,53658684888089991WF43197,2021/5/20,2021/11/16,童读一本书，共筑多彩梦！,河南省,教育助学,1
暖心帮扶计划,53292041656753464SL64973,2021/5/20,2021/11/16,关爱困境老人，让世界更加美好。,河南省,济困救灾,1
给大病家庭温暖的家,53706052893985626RV81518,2021/5/20,2021/11/16,每人10元，给异地就医的大病家庭带来一份温暖。,北京市,疾病救助,1
防溺水安全包计划,53496227221618509GS60289,2021/5/20,2021/11/16,为困境儿童送上一份防溺水安全保障,全国范围,教育助学,1
善医行公益项目,53201356037793461KE30962,2021/5/20,2021/11/16,提升村医医疗服务能力，更好的守护乡村百姓的健康。,全国范围,济困救灾,1
格聂神山妇女赋能,53774002216865576FR36910,2021/5/20,2021/10/31,为格聂镇妇女提供生计培训和赋能,四川省,济困救灾,1
礼仪公益课走进乡村,53677751790240325EV31287,2021/5/20,2021/11/16,送乡村孩子一个礼仪书包，一堂礼仪课,辽宁省,教育助学,1
助伤残人健康排便,53237704067475420YB38926,2021/5/20,2021/11/16,提供一年期护理产品，助伤残人健康排便，预防家庭因残致困,四川省,济困救灾,1
事实孤儿助学工程,53366442027741792PG37371,2021/5/20,2021/11/16,每天20元，帮助事实孤儿学有所成。,全国范围,教育助学,1
留坝县社区老年餐桌,53115698142002377NR49279,2021/5/20,2021/11/16,解决社区独居老年人吃饭困难的问题,陕西省,济困救灾,1
儿童安全守护计划,53191260842514888ZX89752,2021/5/19,2021/11/15,加强儿童自护自救安全知识宣讲，守护他们的今天和明天。,重庆市,教育助学,1
大病儿童救助计划,53496266894469880EV48749,2021/5/19,2021/11/15,每10元，为大病患儿们带来一份生的希望。,北京市,疾病救助,1
困境儿童陪伴计划,53131214512204106JL50093,2021/5/19,2021/6/30,以温暖护童心，陪伴儿童健康成长。,四川省,教育助学,1
希望之光 爱助成长,53977070508062702ES70194,2021/5/19,2021/11/15,为困境青少年提供生活物资和学习用品，让他们更好地成长,甘肃省,教育助学,1
温暖无碍计划,53674919557528234OR27289,2021/5/19,2021/11/15,每10元，让社区困难残疾家庭有无碍环境。,重庆市,济困救灾,1
助老爱老敬老,53360241365689532KI64469,2021/5/19,2021/11/15,为特困老年人安装健身设施,重庆市,济困救灾,1
赋能儿童教育计划,53907831531207661CH73554,2021/5/19,2021/11/15,为县域教师开展心理赋能，乡村留守儿童开展心理成长营活动,辽宁省,教育助学,1
深圳慈善医疗募捐,53406534716436868VG22123,2021/5/19,2021/11/15,让每一份爱心落到实处，致力于解决深圳人[因病致贫]的难题,广东省,疾病救助,1
我为井冈山种茶树,53514821277284010UY94961,2021/5/19,2021/11/15,认领一棵茶树，助力乡村振兴,江西省,自然保护,1
病房筑梦守护计划,53391596468949692GW10977,2021/5/19,2021/11/15,爱心汇聚为大病家庭筑希望之梦。,全国范围,疾病救助,1
关爱失智老人,53333588699680753AW42843,2021/5/19,2021/11/15,失智筛查与预防，守护老人关于爱的记忆,重庆市,济困救灾,1
关爱老兵晚年幸福,53323076753975505YK63189,2021/5/19,2021/6/30,不忘英雄，拍摄幸福相册，记录老兵故事，守护传承红色印记,吉林省,济困救灾,1
你好丁香妈妈,53469545374944267BZ90112,2021/5/19,2021/6/30,"为失独妈妈提供户外活动服务,成立健身舞蹈俱乐部。",吉林省,济困救灾,1
乡村振兴教育振兴,53332453794451118MB93419,2021/5/19,2021/11/15,资助巫溪县学校教育建设。,重庆市,教育助学,1
小红伞急救计划,53301328100693272IL14446,2021/5/19,2021/11/15,为公众普及急救知识和AED的使用。,重庆市,教育助学,1
残疾预防 精准就医,53958911207380867LE93473,2021/5/19,2021/11/15,普及科学就医知识、开展义诊等活动,四川省,疾病救助,1
音乐种子，伴你成长,53228231428950529IU12485,2021/5/19,2021/11/15,关注发展儿童音乐教育；让中国儿童都能学到优质的音乐课,全国范围,教育助学,1
点亮逆境梦想,53304850096927379AG10400,2021/5/19,2021/11/15,资助孩子顺利完成学业，所筹善款将用于孩子学习生活补助,全国范围,教育助学,1
为渐冻人生命续航,53953906732120022GB74852,2021/5/19,2021/11/15,十元钱，为渐冻人生命续航,北京市,疾病救助,1
星火助力大病患儿,53263178682024961WC66973,2021/5/19,2021/11/19,点燃星星之火，守护大病患儿生命的希望,全国范围,疾病救助,1
团圆小家,53589930070017047CU61125,2021/5/19,2021/11/15,为大山深处困境家庭，修缮团圆小家，并提供职业技能培训。,全国范围,济困救灾,1
爱心筑童梦,53859497330558757KL20696,2021/5/19,2021/11/15,资助经济欠发达地区的困难学生,全国范围,教育助学,1
山区儿童免费保险,53865680753346898FN74401,2021/5/19,2021/11/15,帮助一个孩子就是帮助一个家庭。,全国范围,疾病救助,1
自闭症儿童快乐成长,53962431473647211HA35236,2021/5/19,2021/11/15,帮助自闭症儿童与世界自由沟通,全国范围,疾病救助,1
山区儿童免费体检,53531536563065856NT86540,2021/5/19,2021/11/15,帮助一个孩子就是帮助一个家庭,全国范围,疾病救助,1
关爱两癌妇女,53458887151140513YK67952,2021/5/19,2021/11/15,救助患有宫颈癌和乳腺癌早期症状的妇女。,重庆市,疾病救助,1
圆残障人种阳台菜园,53454290385480379QQ84174,2021/5/19,2021/11/15,每1元帮助残障群体出门买菜实际困难,黑龙江省,济困救灾,1
助肿瘤学生点燃希望,53315823385827661HD75240,2021/5/19,2021/11/15,让更多的孩子得到治疗，让他们看到生命的曙光。,河南省,疾病救助,1
爱心助老重见光明,53785438299819977VW55096,2021/5/19,2021/11/15,帮助贫困眼疾病老年患者重见光明。,重庆市,疾病救助,1
守护儿童上学路,53205334720132061QT98716,2021/5/19,2021/8/20,资助困难家庭儿童。,重庆市,教育助学,1
暖西藏精神障碍儿童,53230193052444940WC91644,2021/5/19,2021/11/15,关注西藏儿童心理健康，在藏区普及心理健康知识。,西藏自治区,济困救灾,1
困境儿的温暖之路,53691247582440746SZ13613,2021/5/19,2021/11/15,10元一份爱心，为1000名困境儿解决成长发展困境。,江西省,教育助学,1
温馨小屋伴你成长,53247452618405732BL31494,2021/5/19,2021/11/15,为困境孩子改善家庭环境，配备志愿者陪伴成长,江西省,教育助学,1
圆梦百名儿童微心愿,53469802976756482HP29000,2021/5/19,2021/11/15,每10元钱，让留守儿童感受社会大家庭的温暖。,甘肃省,教育助学,1
春雨校园山村助学,53874474253083978CS25087,2021/5/19,2021/11/15,每个孩子都是祖国未来的希望，用爱为山区学校提升教学设施,广东省,教育助学,1
用爱帮扶重疾患者,53219420707634407RX44337,2021/5/19,2021/11/15,帮扶困难重大疾病患者，助他们重获希望。,广西壮族自治区,疾病救助,1
拥抱星星的孩子,53507358249644797YN11571,2021/5/19,2021/5/27,为自闭症儿童募集康复训练费用,全国范围,教育助学,1
向日葵的呵护,53541122496910607PU40383,2021/5/19,2021/11/15,以物质帮扶+精神陪伴的形式缓解困境儿童生活及精神压力。,山东省,教育助学,1
帮扶山区青春期女生,53908863181486526YL65254,2021/5/19,2021/11/15,提供护花包和课程，让留守女生[初潮]期不再无助。,全国范围,教育助学,1
知心妈妈成长课堂,53734941473582745FQ68700,2021/5/19,2021/11/15,通过[知心妈妈成长课堂]支持2000个亲子困境家庭改善关系,全国范围,济困救灾,1
带上我，遇见你,53885490731917698CH28106,2021/5/19,2021/11/15,每20元一堂活动课，让星星的孩子不再孤单,陕西省,教育助学,1
紧急援救大病家庭,53544267188232612HW12282,2021/5/19,2021/6/30,助大病家庭早日摆脱病痛，为大病家庭送去希望,全国范围,疾病救助,1
残障劳动者关爱计划,53673652492185486KW29836,2021/5/19,2021/11/15,每捐出10元，温暖残障劳动者。,重庆市,济困救灾,1
春雨伴癌病儿童同行,53271164017729141MC14652,2021/5/19,2021/11/15,0-18岁癌病儿童关怀陪伴支持项目,重庆市,疾病救助,1
善行中牟与爱同行,53669313048359459YR19582,2021/5/19,2021/8/9,安老、抚孤、助残、济困、助医、助学等各类慈善活动。,河南省,济困救灾,1
恶疾之下仰望新生,53803607663522837KG99810,2021/5/19,2021/11/15,用你我的爱心，挽救困境中的重疾患者。,全国范围,疾病救助,1
白血病儿童帮扶计划,53759166459239323FY34013,2021/5/19,2021/11/15,每人52元，帮助更多0-18岁白血病儿童拥抱健康和希望,全国范围,疾病救助,1
995大病计划,53109999958257166JD26893,2021/5/19,2021/11/2,你的一份爱心，给大病患者生的希望,全国范围,疾病救助,1
融爱计划,53642604881799314RX85006,2021/5/19,2021/11/15,融合教育，让特殊被看见，让平凡更多元。,全国范围,教育助学,1
大病家庭的启明星,53145832071327529VB62832,2021/5/19,2021/11/15,医务社工对大病患者的就医指导，可使医患沟通快捷有效。,全国范围,疾病救助,1
边疆学童圆梦北京,53630818396730868UR40585,2021/5/19,2021/11/15,北航学子带领新疆边区少数民族学童赴京开展游学活动,新疆维吾尔自治区,教育助学,1
悦耳行动,53757850508493891CY56089,2021/5/19,2021/11/15,为听障人士提供人工耳蜗、语言康复及职业培训。,全国范围,疾病救助,1
快乐行助学,53486435110899772JL42509,2021/5/19,2021/11/15,助力乡村振兴，关注基础教育，让孩子快乐学习,湖南省,教育助学,1
彩基金用爱点亮未来,53817409433362862RV99498,2021/5/19,2021/11/15,一念善心起，万善行相随,广东省,教育助学,1
博爱云南行,53448723527880160BY15132,2021/5/19,2021/11/15,助力云南省乡村振兴,云南省,济困救灾,1
守护乡村儿童安全,53381411525678174AJ50510,2021/5/19,2021/6/30,38元一个安全自护包，守护乡村青少年儿童生命安全,重庆市,教育助学,1
一个鸡蛋温暖湘里娃,53628090677906144WO66811,2021/5/19,2021/6/30,0.9元让湖南乡村儿童每天获取一个鸡蛋的力量。,湖南省,教育助学,1
大学生志愿者成长营,53939045477369679SH13770,2021/5/19,2021/6/30,让大学生志愿者有所成长和提升,重庆市,教育助学,1
爱心拯救大病患者,53692540735206596LT16610,2021/5/19,2021/11/15,为大病患者搭把手，帮助他们重获健康，给予他们生的希望。,全国范围,疾病救助,1
用爱唤醒每只小耳朵,53641486939505149HH85585,2021/5/19,2021/11/15,他们曾是宇宙中孤独的一颗星，每份爱心都会让这颗星更闪耀,黑龙江省,教育助学,1
寄养孤儿公益教育,53271257738461953XV72715,2021/5/19,2021/6/25,每15元钱让寄养孤儿获得一堂课外课程学习。,上海市,教育助学,1
阅读点亮七彩童年,53854100715204629MP91492,2021/5/19,2021/11/15,为困境儿童提供书籍，改善阅读条件。,重庆市,教育助学,1
关爱母亲呵护健康,53989473071643810KP20795,2021/5/19,2021/11/15,救助[两癌]妇女,重庆市,疾病救助,1
七彩之梦未来可期,53530089554303823OI45906,2021/5/19,2021/11/15,鑫苗听力语言康复幼儿园是康复听力障碍儿童的康复机构,辽宁省,教育助学,1
爱心温暖无声世界,53366692214561315OU73338,2021/5/19,2021/11/15,为听障儿童筹集康复经费及家长培训,山东省,教育助学,1
向阳花开的全职妈妈,53890866513708953HB79089,2021/5/19,2021/11/15,帮助全职妈妈在照顾家庭和自我发展之间获得平衡。,辽宁省,济困救灾,1
寒门学子大学梦,53587836755146937RN31965,2021/5/19,2021/11/15,帮助永川区困境大学新生、寒门学子圆大学梦,重庆市,教育助学,1
益童行动守护瞳真,53441176441261796UA52547,2021/5/19,2021/6/30,每2元为一名儿童进行眼部综合检测,吉林省,教育助学,1
520爱心图书室,53947253821370241QZ53778,2021/5/19,2021/11/15,振兴乡村文化，传承红色经典，传递榜样力量,全国范围,教育助学,1
助力守护大病家庭,53905843658195054OZ53969,2021/5/19,2021/6/30,让在困境中的大病家庭有爱相伴，有暖相依。,全国范围,疾病救助,1
两癌生活帮扶计划,53290022350948311LU17132,2021/5/19,2021/11/15,小善大爱，每人10元，汇爱成海，助[两癌]母亲重获新生,河南省,疾病救助,1
爱助困境学子,53815019203918329OA97478,2021/5/19,2021/11/15,捐一份爱心，就能90名困难家庭高中生顺利学习。,重庆市,教育助学,1
莲丝信使,53641937107818152TA48247,2021/5/19,2021/11/15,支持与帮助困境中的遗体器官捐献家属。,江西省,其他,1
益起呵护留守儿童,53601551312082954VG90990,2021/5/19,2021/11/15,为困境儿童送去关爱礼包，呵护幼小心灵，陪伴健康成长。,河北省,其他,1
关爱走读生健康安全,53456885023960579UR91101,2021/5/19,2021/11/15,关爱重庆市巫山第二中学1000余名走读生健康、安全。,重庆市,教育助学,1
帮残障家庭走出困境,53556858964142710PH60011,2021/5/19,2021/11/15,通过社区化照顾等服务模式，解放家长，引导家庭自立自强。,山东省,济困救灾,1
助力自闭症亲子就业,53420384499848916KY11072,2021/5/19,2021/9/12,助力大龄自闭症亲子技能培训，打开进入社会的大门。,辽宁省,教育助学,1
特殊孩子七彩梦,53839857451759488LD75860,2021/5/19,2021/11/15,帮助心智障碍者实现独立生活、艺术疗愈以及自主就业,辽宁省,济困救灾,1
应急救护公益项目,53905878090572085SF41927,2021/5/19,2021/11/15,学习应急救护，守护生命健康。,广西壮族自治区,济困救灾,1
西部助学计划,53341026474890662UB37610,2021/5/19,2021/11/15,以提供助学金的形式保障学生接受教育的机会。,中西部地区,教育助学,1
善行滨州·日行一善,53664048529082165XL33090,2021/5/19,2021/11/15,奉献一份爱心，让[小爱]汇聚[大爱]。,山东省,其他,1
圆困境娃娃文学梦,53199309482661799NK82419,2021/5/19,2021/11/15,为困难家庭学生提升文学水平添置辅助设施,重庆市,教育助学,1
微孝天使老人关怀,53739483534766224XK43435,2021/5/19,2021/11/15,每10元一次关怀服务，提高失智失能老人生活质量,湖南省,疾病救助,1
温馨工程旨因有你,53816268263444592OO91391,2021/5/19,2021/11/15,捐款20元为温馨工程--旨因有你服务项目助力。,全国范围,济困救灾,1
实体肿瘤儿童的重生,53402577363024323GN48451,2021/5/18,2021/11/14,为14周岁及以下患有实体肿瘤的困难家庭儿童提供救助,全国范围,疾病救助,1
青年壹公益支持计划,53972980077289241TX87296,2021/5/18,2021/11/14,支持青年大学生用公益创造美好,广东省,教育助学,1
山区支教 守护明天,53326680592188123CI33610,2021/5/18,2021/11/14,为山区儿童开展支教助学活动,陕西省,教育助学,1
大山的礼物,53395284860145132UH78621,2021/5/18,2021/11/14,支持大山残友和留守老人种养原生态食材。,四川省,济困救灾,1
仙果助农公益计划,53601367302239063GV14772,2021/5/18,2021/11/14,巩固脱贫成果，助力乡村振兴,陕西省,济困救灾,1
大病群体救助计划,53107587538098086HD80509,2021/5/18,2021/11/14,为困难的家庭，搭建爱的平台。,北京市,疾病救助,1
自闭症家庭关爱计划,53583945285026046KO12795,2021/5/18,2021/11/14,多一分对[星星儿童]的关爱，少一分角落里的哀伤。,安徽省,教育助学,1
破晓大病救助计划,5390821445937041YV69150,2021/5/18,2021/11/14,汇爱成海，打破黑暗，给他们一个活下去的机会。,全国范围,疾病救助,1
知行职业培训计划,53493024870575250OG42045,2021/5/18,2021/9/21,提升弱势群体职业技能，奠定坚实就业基础，增加经济收入。,全国范围,济困救灾,1
青乐学堂工程,53153087448409595OK46082,2021/5/18,2021/11/14,校地共建为农村小学开展音乐等课堂，让歌声笑声传递爱。,山东省,教育助学,1
